city|location|price|bedrooms|baths|size
Lahore|DHA Phase 6, DHA Defence|79500000|5|6|4500
Lahore|Lake City - Sector M-2A, Lake City|52500000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|73000000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|78600000|5|6|4950
Lahore|DHA Phase 6 - Block J, DHA Phase 6|71900000|5|6|4500
Lahore|Bahria Orchard, Lahore|15000000|0|0|1125
Lahore|Bahria Orchard Phase 1 - Eastern, Bahria Orchard Phase 1|36500000|0|0|2250
Lahore|Bahria Orchard, Lahore|16000000|0|0|1125
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|115000000|5|6|4500
Lahore|Bahria Town - Tauheed Block, Bahria Town - Sector F|3442000|0|1|248
Lahore|Lake City - Sector M-7B, Lake City|26500000|4|5|1125
Lahore|DHA Phase 6 - Block L, DHA Phase 6|76900000|5|6|4500
Lahore|DHA Phase 1 - Block C, DHA Phase 1|70000000|5|6|4500
Lahore|PCSIR Housing Scheme Phase 2, PCSIR Housing Scheme|109000000|5|6|4500
Lahore|Bahria Town - Sector B, Bahria Town|100000000|5|6|4500
Lahore|Garden Town, Lahore|15600000|1|2|630
Lahore|DHA Phase 6, DHA Defence|105000000|5|5|4500
Lahore|DHA Phase 7 - Block U, DHA Phase 7|97500000|6|6|4500
Lahore|DHA Phase 6 - Block L, DHA Phase 6|101500000|5|5|4500
Lahore|Johar Town, Lahore|62000000|6|6|2700
Lahore|Johar Town, Lahore|44000000|7|6|2362
Lahore|Wapda Town Phase 1, Wapda Town|46200000|5|6|2250
Lahore|Architects Engineers Housing Society, Lahore|36800000|5|6|2250
Lahore|Johar Town, Lahore|39800000|5|6|2250
Lahore|Johar Town, Lahore|28800000|5|6|1125
Lahore|DHA Phase 5, DHA Defence|430000000|5|6|9000
Lahore|DHA Phase 6 - Block K, DHA Phase 6|84400000|5|6|4500
Lahore|DHA Phase 5 - Block A, DHA Phase 5|130000000|6|6|4500
Lahore|DHA 9 Town, DHA Defence|20300000|3|4|1125
Lahore|DHA Phase 6 - Block C, DHA Phase 6|71500000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|380000000|6|6|9000
Lahore|DHA Phase 8 - Ex Park View, DHA Phase 8|130000000|7|6|4500
Lahore|DHA Phase 6 - Block C, DHA Phase 6|76500000|5|6|4500
Lahore|Allama Iqbal Town - Gulshan Block, Allama Iqbal Town|52500000|5|6|2250
Lahore|Bahria Town - Jinnah Block, Bahria Town - Sector E|24000000|3|4|1125
Lahore|LDA Avenue - Block J, LDA Avenue|38000000|0|0|2250
Lahore|Bahria Town - Tauheed Block, Bahria Town - Sector F|22000000|5|6|2250
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|48000000|5|6|2250
Lahore|Bahria Orchard Phase 2, Bahria Orchard|17000000|0|0|1125
Lahore|Bahria Orchard Phase 2, Bahria Orchard|21500000|0|0|1800
Lahore|OLC - Block A, Overseas Low Cost|15500000|0|0|1125
Lahore|Bahria Orchard Phase 2, Bahria Orchard|16000000|0|0|1125
Lahore|Bahria Town - Sector C, Bahria Town|18000000|3|4|1125
Lahore|DHA Phase 3 - Block X, DHA Phase 3|80000000|5|6|4500
Lahore|Valencia Housing Society, Lahore|75000000|5|6|4500
Lahore|Johar Town Phase 1, Johar Town|42000000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|49800000|6|6|1800
Lahore|Johar Town Phase 2, Johar Town|29800000|6|6|1125
Lahore|Architects Engineers Housing Society, Lahore|34500000|5|6|2250
Lahore|Johar Town Phase 1, Johar Town|49900000|6|6|2475
Lahore|DHA Phase 6, DHA Defence|80000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|100000000|5|6|4500
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|49000000|5|6|2452
Lahore|DHA Phase 6, DHA Defence|73500000|5|6|4500
Lahore|Park View City, Lahore|16000000|4|4|1125
Lahore|Askari 11, Askari|77500000|5|6|3150
Lahore|Park View City, Lahore|16000000|4|4|1125
Lahore|Low Cost - Block E, Low Cost Sector|13000000|0|0|1125
Lahore|Park View City - Executive Block, Park View City|17500000|4|5|1125
